X,Y,IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,PdId
-122.407734831168014,37.752824741783293,160079410,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,01/27/2016,22:30,MISSION,NONE,2700 Block of 24TH ST,16007941016710.000000000000000
-122.450171757009016,37.7672056686338,160082269,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Wednesday,01/27/2016,22:30,PARK,NONE,700 Block of COLE ST,16008226905073.000000000000000
-122.450171757009016,37.7672056686338,160082269,LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Wednesday,01/27/2016,22:30,PARK,NONE,700 Block of COLE ST,16008226906222.000000000000000
-122.417903977563981,37.785167087551685,160079379,ROBBERY,"ROBBERY, BODILY FORCE",Wednesday,01/27/2016,22:26,NORTHERN,NONE,OFARRELL ST / LARKIN ST,16007937903074.000000000000000
-122.417903977563981,37.785167087551685,160079379,LARCENY/THEFT,GRAND THEFT FROM PERSON,Wednesday,01/27/2016,22:26,NORTHERN,NONE,OFARRELL ST / LARKIN ST,16007937906153.000000000000000
-122.416351987352002,37.781603143867102,160079341,LARCENY/THEFT,GRAND THEFT FROM PERSON,Wednesday,01/27/2016,22:22,TENDERLOIN,NONE,300 Block of GOLDEN GATE AV,16007934106153.000000000000000
-122.416351987352002,37.781603143867102,160079341,SECONDARY CODES,ATM RELATED CRIME,Wednesday,01/27/2016,22:22,TENDERLOIN,NONE,300 Block of GOLDEN GATE AV,16007934115400.000000000000000
-122.439895933784982,37.800297984700194,166023152,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,01/27/2016,22:13,NORTHERN,NONE,2200 Block of CHESTNUT ST,16602315206372.000000000000000
-122.418065082005995,37.786341919666803,160080837,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,01/27/2016,22:00,NORTHERN,UNFOUNDED,900 Block of LARKIN ST,16008083707021.000000000000000
-122.421097159641988,37.780045163760398,166023099,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,22:00,NORTHERN,NONE,500 Block of MCALLISTER ST,16602309906244.000000000000000
-122.502977955128003,37.763348039057185,166024815,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,01/27/2016,22:00,TARAVAL,NONE,1200 Block of 43RD AV,16602481506372.000000000000000
-122.419658343709983,37.764220560374497,160080031,ASSAULT,CHILD ABUSE (PHYSICAL),Wednesday,01/27/2016,22:00,MISSION,"ARREST, BOOKED",2000 Block of MISSION ST,16008003115015.000000000000000
-122.407068230001997,37.774826448467493,166038496,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,21:50,SOUTHERN,NONE,1100 Block of HARRISON ST,16603849606244.000000000000000
-122.422215377724982,37.785527810772592,166024451,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,21:50,NORTHERN,NONE,1100 Block of GEARY BL,16602445106244.000000000000000
-122.40583814464901,37.752978586487693,160075822,SECONDARY CODES,DOMESTIC VIOLENCE,Wednesday,01/27/2016,21:49,MISSION,"ARREST, BOOKED",2600 Block of 24TH ST,16007582215200.000000000000000
-122.40583814464901,37.752978586487693,160075822,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,01/27/2016,21:49,MISSION,"ARREST, BOOKED",2600 Block of 24TH ST,16007582228150.000000000000000
-122.40583814464901,37.752978586487693,160075822,TRESPASS,TRESPASSING,Wednesday,01/27/2016,21:49,MISSION,"ARREST, BOOKED",2600 Block of 24TH ST,16007582227195.000000000000000
-122.420818330445002,37.78289464509119,160079307,ROBBERY,ATTEMPTED ROBBERY WITH BODILY FORCE,Wednesday,01/27/2016,21:32,NORTHERN,NONE,EDDY ST / VANNESS AV,16007930703474.000000000000000
-122.420818330445002,37.78289464509119,160079307,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Wednesday,01/27/2016,21:32,NORTHERN,NONE,EDDY ST / VANNESS AV,16007930704014.000000000000000
-122.510225749051983,37.767244220961601,166025879,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,21:25,RICHMOND,NONE,1000 Block of GREAT HY,16602587906244.000000000000000
-122.375989158091983,37.730157692425188,160079181,WEAPON LAWS,DISCHARGE FIREARM WITHIN CITY LIMITS,Wednesday,01/27/2016,21:24,BAYVIEW,NONE,100 Block of KISKA RD,16007918112027.000000000000000
-122.375989158091983,37.730157692425188,160079181,ASSAULT,"FIREARM, DISCHARGING IN GROSSLY NEGLIGENT MANNER",Wednesday,01/27/2016,21:24,BAYVIEW,NONE,100 Block of KISKA RD,16007918104083.000000000000000
-122.434408490492999,37.722382708145894,160079197,ASSAULT,BATTERY,Wednesday,01/27/2016,21:19,INGLESIDE,NONE,PERSIA AV / PARIS ST,16007919704134.000000000000000
-122.451047531474998,37.781281429384784,160079175,ASSAULT,BATTERY,Wednesday,01/27/2016,21:18,RICHMOND,"ARREST, BOOKED",100 Block of BLAKE ST,16007917504134.000000000000000
-122.393289592936,37.778428478397494,160079103,OTHER OFFENSES,"TRAFFIC COLLISION, HIT & RUN, PROPERTY DAMAGE",Wednesday,01/27/2016,21:18,SOUTHERN,NONE,TOWNSEND ST / RITCH ST,16007910368060.000000000000000
-122.393289592936,37.778428478397494,160079103,ASSAULT,ASSAULT ON A POLICE OFFICER WITH A DEADLY WEAPON,Wednesday,01/27/2016,21:18,SOUTHERN,NONE,TOWNSEND ST / RITCH ST,16007910304073.000000000000000
-122.393289592936,37.778428478397494,160079103,OTHER OFFENSES,EVADING A POLICE OFFICER RECKLESSLY,Wednesday,01/27/2016,21:18,SOUTHERN,NONE,TOWNSEND ST / RITCH ST,16007910327175.000000000000000
-122.390556045989982,37.790475036164494,160079517,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,21:10,SOUTHERN,NONE,0 Block of FOLSOM ST,16007951706244.000000000000000
-122.413684555166995,37.777798462853696,160079288,NON-CRIMINAL,FOUND PROPERTY,Wednesday,01/27/2016,21:06,SOUTHERN,NONE,0 Block of 8TH ST,16007928872000.000000000000000
-122.417146843835994,37.781446350133997,160079147,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Wednesday,01/27/2016,21:00,TENDERLOIN,"ARREST, BOOKED",GOLDEN GATE AV / LARKIN ST,16007914765050.000000000000000
-122.396283594618012,37.765104796685797,166038468,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,21:00,BAYVIEW,NONE,1200 Block of 17TH ST,16603846806244.000000000000000
-122.412409765245002,37.772403677149903,160081697,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Wednesday,01/27/2016,21:00,SOUTHERN,NONE,300 Block of 10TH ST,16008169707020.000000000000000
-122.403404791479019,37.775420706710989,166023798,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,21:00,SOUTHERN,NONE,800 Block of BRYANT ST,16602379806244.000000000000000
-122.412409765245002,37.772403677149903,160081697,VEHICLE THEFT,STOLEN TRUCK,Wednesday,01/27/2016,21:00,SOUTHERN,NONE,300 Block of 10TH ST,16008169707025.000000000000000
-122.420564122317018,37.806656782446709,166023748,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,21:00,CENTRAL,NONE,HYDE ST / BEACH ST,16602374806244.000000000000000
-122.415088721046004,37.783671956437203,166024144,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,01/27/2016,21:00,TENDERLOIN,NONE,400 Block of EDDY ST,16602414406372.000000000000000
-122.413259498719,37.782951482880087,160080310,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,21:00,TENDERLOIN,NONE,200 Block of TURK ST,16008031006244.000000000000000
-122.420657325498013,37.7720959505412,160079391,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,21:00,SOUTHERN,NONE,0 Block of GOUGH ST,16007939106244.000000000000000
-122.407244087031998,37.786564760768492,160079432,LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Wednesday,01/27/2016,21:00,TENDERLOIN,"ARREST, BOOKED",100 Block of OFARRELL ST,16007943206364.000000000000000
-122.433843066297996,37.788906243378506,166022803,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,21:00,NORTHERN,NONE,CALIFORNIA ST / FILLMORE ST,16602280306244.000000000000000
-122.411615075407994,37.783161410939499,160079012,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,01/27/2016,20:51,TENDERLOIN,NONE,100 Block of TURK ST,16007901264020.000000000000000
-122.414010814727021,37.786677001107094,160085332,OTHER OFFENSES,PAROLE VIOLATION,Wednesday,01/27/2016,20:50,CENTRAL,"ARREST, BOOKED",600 Block of GEARY ST,16008533226150.000000000000000
-122.400316057286005,37.790099627366985,169001052,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Wednesday,01/27/2016,20:50,SOUTHERN,NONE,SANSOME ST / MARKET ST,16900105203014.000000000000000
-122.414010814727021,37.786677001107094,160085332,ASSAULT,THREATS AGAINST LIFE,Wednesday,01/27/2016,20:50,CENTRAL,"ARREST, BOOKED",600 Block of GEARY ST,16008533219057.000000000000000
-122.414010814727021,37.786677001107094,160085332,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,01/27/2016,20:50,CENTRAL,"ARREST, BOOKED",600 Block of GEARY ST,16008533216710.000000000000000
-122.401957311851021,37.8027753331329,166023754,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,20:45,CENTRAL,NONE,1200 Block of BATTERY ST,16602375406244.000000000000000
-122.401966042338998,37.768704863608193,166045015,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,20:45,BAYVIEW,NONE,BERRY ST / DEHARO ST,16604501506244.000000000000000
-122.418618953339006,37.7730525547653,160078967,NON-CRIMINAL,LOST PROPERTY,Wednesday,01/27/2016,20:40,SOUTHERN,NONE,MISSION ST / SOUTH VAN NESS AV,16007896771000.000000000000000
-122.407244087031998,37.786564760768492,166023760,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Wednesday,01/27/2016,20:40,TENDERLOIN,NONE,100 Block of OFARRELL ST,16602376006374.000000000000000
-122.418618953339006,37.7730525547653,160078967,ASSAULT,BATTERY,Wednesday,01/27/2016,20:40,SOUTHERN,NONE,MISSION ST / SOUTH VAN NESS AV,16007896704134.000000000000000
-122.42143134920498,37.760889923049589,160079131,DRUG/NARCOTIC,SALE OF COCAINE,Wednesday,01/27/2016,20:37,MISSION,NONE,700 Block of VALENCIA ST,16007913116624.000000000000000
-122.38247549113099,37.729262639134092,160078951,BURGLARY,"BURGLARY, HOT PROWL, FORCIBLE ENTRY",Wednesday,01/27/2016,20:35,BAYVIEW,NONE,1100 Block of PALOU AV,16007895105081.000000000000000
-122.418537074675996,37.80615159356109,166023867,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,20:30,CENTRAL,NONE,1300 Block of COLUMBUS AV,16602386706244.000000000000000
-122.430600096372999,37.785520717231293,160079363,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,20:30,NORTHERN,NONE,1700 Block of POST ST,16007936306244.000000000000000
-122.452289660492013,37.7256933575703,160079153,OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,01/27/2016,20:21,INGLESIDE,"ARREST, BOOKED",0 Block of PHELAN AV,16007915365015.000000000000000
-122.476813745287984,37.759834106936502,160078973,OTHER OFFENSES,RESISTING ARREST,Wednesday,01/27/2016,20:15,TARAVAL,"ARREST, BOOKED",KIRKHAM ST / 19TH AV,16007897327170.000000000000000
-122.476813745287984,37.759834106936502,160078973,FORGERY/COUNTERFEITING,"FORGERY, DRIVERS LICENSE OR ID-CARD",Wednesday,01/27/2016,20:15,TARAVAL,"ARREST, BOOKED",KIRKHAM ST / 19TH AV,16007897309120.000000000000000
-122.476813745287984,37.759834106936502,160078973,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,01/27/2016,20:15,TARAVAL,"ARREST, BOOKED",KIRKHAM ST / 19TH AV,16007897362050.000000000000000
-122.426955631709006,37.769247063206983,160079006,WARRANTS,POST RELEASE COMMUNITY SUPERVISION,Wednesday,01/27/2016,20:14,MISSION,"ARREST, BOOKED",2000 Block of MARKET ST,16007900662072.000000000000000
-122.426955631709006,37.769247063206983,160079006,OTHER OFFENSES,PROBATION VIOLATION,Wednesday,01/27/2016,20:14,MISSION,"ARREST, BOOKED",2000 Block of MARKET ST,16007900626170.000000000000000
-122.426955631709006,37.769247063206983,160079006,SECONDARY CODES,GANG ACTIVITY,Wednesday,01/27/2016,20:14,MISSION,"ARREST, BOOKED",2000 Block of MARKET ST,16007900619400.000000000000000
-122.418272974844996,37.795015366123295,160084889,ASSAULT,ELDER ADULT OR DEPENDENT ABUSE (NOT EMBEZZLEMENT OR THEFT),Wednesday,01/27/2016,20:00,CENTRAL,NONE,1500 Block of HYDE ST,16008488915041.000000000000000
-122.418272974844996,37.795015366123295,160084889,ASSAULT,BATTERY,Wednesday,01/27/2016,20:00,CENTRAL,NONE,1500 Block of HYDE ST,16008488904134.000000000000000
-122.420787082234,37.769059523607794,160088063,ROBBERY,ROBBERY OF A RESIDENCE WITH A GUN,Wednesday,01/27/2016,20:00,MISSION,NONE,0 Block of WOODWARD ST,16008806303051.000000000000000
-122.479546953341014,37.759658554136806,166023889,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,20:00,TARAVAL,NONE,1700 Block of KIRKHAM ST,16602388906244.000000000000000
-122.401970278814005,37.7680521740674,160079200,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,01/27/2016,20:00,BAYVIEW,NONE,100 Block of DEHARO ST,16007920028160.000000000000000
-122.482070243558994,37.780334283520489,160079090,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,20:00,RICHMOND,NONE,5800 Block of GEARY BL,16007909006243.000000000000000
-122.457558060156003,37.712252544813396,166024746,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,20:00,TARAVAL,NONE,100 Block of SADOWA ST,16602474606244.000000000000000
-122.419429440819002,37.743146841669692,160078882,ROBBERY,"ROBBERY, ARMED WITH A KNIFE",Wednesday,01/27/2016,20:00,INGLESIDE,"ARREST, BOOKED",100 Block of LUNDYS LN,16007888203072.000000000000000
-122.411584193033988,37.74861952126119,160080326,BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Wednesday,01/27/2016,20:00,MISSION,NONE,3000 Block of HARRISON ST,16008032605011.000000000000000
-122.426955631709006,37.769247063206983,160078923,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,01/27/2016,20:00,MISSION,"ARREST, BOOKED",2000 Block of MARKET ST,16007892306362.000000000000000
-122.408568445227999,37.788759421470296,166025932,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Wednesday,01/27/2016,20:00,CENTRAL,NONE,400 Block of POWELL ST,16602593206374.000000000000000
-122.436990901849995,37.77515111407029,166023083,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,20:00,PARK,NONE,1200 Block of HAYES ST,16602308306244.000000000000000
-122.419429440819002,37.743146841669692,160078882,ASSAULT,FALSE IMPRISONMENT,Wednesday,01/27/2016,20:00,INGLESIDE,"ARREST, BOOKED",100 Block of LUNDYS LN,16007888204170.000000000000000
-122.419429440819002,37.743146841669692,160078882,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Wednesday,01/27/2016,20:00,INGLESIDE,"ARREST, BOOKED",100 Block of LUNDYS LN,16007888204012.000000000000000
-122.420787082234,37.769059523607794,160088063,ASSAULT,BATTERY,Wednesday,01/27/2016,20:00,MISSION,NONE,0 Block of WOODWARD ST,16008806304134.000000000000000
-122.420832650302998,37.747999449322599,160078826,ASSAULT,BATTERY,Wednesday,01/27/2016,19:52,MISSION,"ARREST, BOOKED",3500 Block of CESAR CHAVEZ ST,16007882604134.000000000000000
-122.405294845214982,37.786307223636491,160078876,ROBBERY,ROBBERY OF A CHAIN STORE WITH A DANGEROUS WEAPON,Wednesday,01/27/2016,19:50,SOUTHERN,NONE,700 Block of MARKET ST,16007887603043.000000000000000
-122.422857719557996,37.805444041394402,160079169,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,19:45,CENTRAL,NONE,900 Block of NORTHPOINT ST,16007916906243.000000000000000
-122.40722244095501,37.786456258800897,166023710,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,19:30,TENDERLOIN,NONE,100 Block of OFARRELL ST,16602371006244.000000000000000
-122.432706975892017,37.783290941636203,166022790,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Wednesday,01/27/2016,19:30,NORTHERN,NONE,FILLMORE ST / OFARRELL ST,16602279006224.000000000000000
-122.413189430011002,37.771273691357592,160082009,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,01/27/2016,19:30,SOUTHERN,NONE,300 Block of 11TH ST,16008200928150.000000000000000
-122.413189430011002,37.771273691357592,160082009,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,01/27/2016,19:30,SOUTHERN,NONE,300 Block of 11TH ST,16008200906371.000000000000000
-122.412483263479984,37.770630591077598,160078707,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Wednesday,01/27/2016,19:28,SOUTHERN,"ARREST, BOOKED",11TH ST / HARRISON ST,16007870727130.000000000000000
-122.412483263479984,37.770630591077598,160078707,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Wednesday,01/27/2016,19:28,SOUTHERN,"ARREST, BOOKED",11TH ST / HARRISON ST,16007870705014.000000000000000
-122.412483263479984,37.770630591077598,160078707,WARRANTS,WARRANT ARREST,Wednesday,01/27/2016,19:28,SOUTHERN,"ARREST, BOOKED",11TH ST / HARRISON ST,16007870763010.000000000000000
-122.384953741035005,37.732638427048791,160078735,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Wednesday,01/27/2016,19:27,BAYVIEW,NONE,0 Block of COMMER CT,16007873515161.000000000000000
-122.384953741035005,37.732638427048791,160078735,SECONDARY CODES,DOMESTIC VIOLENCE,Wednesday,01/27/2016,19:27,BAYVIEW,NONE,0 Block of COMMER CT,16007873515200.000000000000000
-122.420787082234,37.769059523607794,160078688,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,01/27/2016,19:16,MISSION,NONE,0 Block of WOODWARD ST,16007868864020.000000000000000
-122.432483319531002,37.725628727483084,160080893,TRESPASS,TRESPASSING,Wednesday,01/27/2016,19:15,INGLESIDE,NONE,100 Block of EXCELSIOR AV,16008089327195.000000000000000
-122.408384275542005,37.787827113722486,160081794,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,01/27/2016,19:03,CENTRAL,NONE,300 Block of POWELL ST,16008179406363.000000000000000
-122.471720962057006,37.714022818378403,160081578,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Wednesday,01/27/2016,19:01,TARAVAL,NONE,1300 Block of JUNIPERO SERRA BL,16008157868020.000000000000000
-122.427991151911016,37.784953124161198,160079119,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,19:00,NORTHERN,NONE,GEARY BL / LAGUNA ST,16007911906244.000000000000000
-122.422657009241007,37.74436603854739,160078672,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,19:00,INGLESIDE,NONE,600 Block of SAN JOSE AV,16007867206241.000000000000000
-122.441044298253004,37.778349255672083,160080241,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Wednesday,01/27/2016,19:00,PARK,NONE,1800 Block of GOLDEN GATE AV,16008024105073.000000000000000
-122.433866824600003,37.789389222717801,160079385,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,19:00,NORTHERN,NONE,2100 Block of FILLMORE ST,16007938506244.000000000000000
-122.407999186748981,37.777824167306392,160079078,MISSING PERSON,MISSING JUVENILE,Wednesday,01/27/2016,19:00,SOUTHERN,UNFOUNDED,0 Block of MOSS ST,16007907874010.000000000000000
-122.413354187018015,37.769074800384693,160079125,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,19:00,MISSION,NONE,1700 Block of HARRISON ST,16007912506243.000000000000000
-122.407999186748981,37.777824167306392,160079078,MISSING PERSON,FOUND PERSON,Wednesday,01/27/2016,19:00,SOUTHERN,UNFOUNDED,0 Block of MOSS ST,16007907875000.000000000000000
-122.41720118265701,37.750704698456602,160078666,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Wednesday,01/27/2016,18:55,MISSION,"ARREST, BOOKED",25TH ST / CAPP ST,16007866604138.000000000000000
-122.424322834823982,37.768303598165687,166022897,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,18:45,MISSION,NONE,100 Block of GUERRERO ST,16602289706244.000000000000000
-122.431979576385999,37.780047852992297,160078713,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,18:45,NORTHERN,NONE,1100 Block of FILLMORE ST,16007871306244.000000000000000
-122.494946704170999,37.758081173495796,160080150,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Wednesday,01/27/2016,18:40,TARAVAL,NONE,1500 Block of 36TH AV,16008015005083.000000000000000
-122.411075138748004,37.773331667730083,160079313,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,18:40,SOUTHERN,NONE,9TH ST / RINGOLD ST,16007931306244.000000000000000
-122.494946704170999,37.758081173495796,160080166,LARCENY/THEFT,ATTEMPTED THEFT FROM UNLOCKED VEHICLE,Wednesday,01/27/2016,18:40,TARAVAL,NONE,1500 Block of 36TH AV,16008016606220.000000000000000
-122.494946704170999,37.758081173495796,160080150,LARCENY/THEFT,ATTEMPTED THEFT FROM UNLOCKED VEHICLE,Wednesday,01/27/2016,18:40,TARAVAL,NONE,1500 Block of 36TH AV,16008015006220.000000000000000
-122.444834691780997,37.784616053354796,160080257,FRAUD,"CREDIT CARD, THEFT BY USE OF",Wednesday,01/27/2016,18:30,RICHMOND,NONE,LYON ST / SUTTER ST,16008025709320.000000000000000
-122.419360352761004,37.761835801237588,160087253,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Wednesday,01/27/2016,18:30,MISSION,NONE,18TH ST / MISSION ST,16008725304014.000000000000000
-122.444834691780997,37.784616053354796,160080257,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,18:30,RICHMOND,NONE,LYON ST / SUTTER ST,16008025706244.000000000000000
-122.412472233620008,37.801474338319501,160078763,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Wednesday,01/27/2016,18:15,CENTRAL,NONE,0 Block of SCOTLAND ST,16007876364070.000000000000000
-122.439368478152005,37.799931938621505,166022637,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,18:15,NORTHERN,NONE,3200 Block of PIERCE ST,16602263706244.000000000000000
-122.393622739343002,37.783079119147096,160079056,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,18:15,SOUTHERN,NONE,2ND ST / BRYANT ST,16007905606244.000000000000000
-122.413679376888012,37.780925833685188,160078531,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,01/27/2016,18:11,TENDERLOIN,"ARREST, BOOKED",LEAVENWORTH ST / MCALLISTER ST,16007853162050.000000000000000
-122.413679376888012,37.780925833685188,160078531,ASSAULT,BATTERY,Wednesday,01/27/2016,18:11,TENDERLOIN,"ARREST, BOOKED",LEAVENWORTH ST / MCALLISTER ST,16007853104134.000000000000000
-122.420250482603009,37.780074574633403,160079426,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Wednesday,01/27/2016,18:08,NORTHERN,NONE,MCALLISTER ST / VANNESS AV,16007942606113.000000000000000
-122.419609427561994,37.776134842142888,160081095,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Wednesday,01/27/2016,18:00,NORTHERN,NONE,0 Block of VANNESS AV,16008109506304.000000000000000
-122.414406029855016,37.784190715111897,160079937,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,01/27/2016,18:00,TENDERLOIN,NONE,300 Block of LEAVENWORTH ST,16007993728160.000000000000000
-122.415066876469979,37.783563479633195,160080558,ASSAULT,THREATS AGAINST LIFE,Wednesday,01/27/2016,18:00,TENDERLOIN,NONE,400 Block of EDDY ST,16008055819057.000000000000000
-122.39369691883401,37.735627273592591,160080019,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,01/27/2016,18:00,BAYVIEW,NONE,1700 Block of PALOU AV,16008001907021.000000000000000
-122.432263294849008,37.7265486828679,160078519,MISSING PERSON,FOUND PERSON,Wednesday,01/27/2016,18:00,INGLESIDE,UNFOUNDED,100 Block of LONDON ST,16007851975000.000000000000000
-122.424688703591016,37.785333964030592,160087059,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,01/27/2016,18:00,NORTHERN,NONE,GEARY BL / GOUGH ST,16008705907021.000000000000000
-122.432263294849008,37.7265486828679,160078519,MISSING PERSON,MISSING JUVENILE,Wednesday,01/27/2016,18:00,INGLESIDE,UNFOUNDED,100 Block of LONDON ST,16007851974010.000000000000000
-122.466313420543003,37.763085116613993,160080263,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Wednesday,01/27/2016,18:00,TARAVAL,NONE,1300 Block of 9TH AV,16008026305151.000000000000000
-122.446296673145014,37.721198058811908,160078804,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,01/27/2016,18:00,INGLESIDE,NONE,2200 Block of SAN JOSE AV,16007880428160.000000000000000
-122.423383986335992,37.745562034930103,160157834,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Wednesday,01/27/2016,18:00,INGLESIDE,NONE,0 Block of 28TH ST,16015783405043.000000000000000
-122.39983384653101,37.781043217933401,160078575,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,01/27/2016,17:56,SOUTHERN,"ARREST, BOOKED",300 Block of 4TH ST,16007857506302.000000000000000
-122.418729600557,37.785007503992993,160078785,NON-CRIMINAL,AIDED CASE,Wednesday,01/27/2016,17:55,NORTHERN,NONE,800 Block of OFARRELL ST,16007878551040.000000000000000
-122.475083723051995,37.780525685086197,160079404,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/27/2016,17:50,RICHMOND,NONE,16TH AV / GEARY BL,16007940406244.000000000000000
-122.403915681570993,37.790538993725001,160078525,ASSAULT,ELDER ADULT OR DEPENDENT ABUSE (NOT EMBEZZLEMENT OR THEFT),Wednesday,01/27/2016,17:45,CENTRAL,"ARREST, BOOKED",200 Block of KEARNY ST,16007852515041.000000000000000
-122.403915681570993,37.790538993725001,160078525,OTHER OFFENSES,RESISTING ARREST,Wednesday,01/27/2016,17:45,CENTRAL,"ARREST, BOOKED",200 Block of KEARNY ST,16007852527170.000000000000000
